,EpochLoss
0,2.347991704940796
1,1.981248140335083
2,1.6754038333892822
3,1.4240858554840088
4,1.2204262018203735
5,1.056855320930481
6,0.9247692823410034
7,0.8151456117630005
8,0.7194713950157166
9,0.6307347416877747
10,0.5444909334182739
11,0.45974060893058777
12,0.37898489832878113
13,0.30701571702957153
14,0.24879954755306244
15,0.20728634297847748
16,0.1821397989988327
17,0.1699889451265335
18,0.16596412658691406
19,0.16548751294612885
20,0.16535423696041107
21,0.1638984978199005
22,0.16067421436309814
23,0.1560485064983368
24,0.15083035826683044
25,0.14587707817554474
26,0.1416817456483841
27,0.13819573819637299
28,0.13506056368350983
29,0.13191020488739014
30,0.1285230815410614
31,0.12486905604600906
32,0.12107017636299133
33,0.11731042712926865
34,0.11375416070222855
35,0.11050286144018173
36,0.10758399218320847
37,0.10496029257774353
38,0.10255542397499084
39,0.1002882868051529
40,0.09810248762369156
41,0.09598081558942795
42,0.0939406231045723
43,0.09201236069202423
44,0.09021269530057907
45,0.08852962404489517
46,0.08692950010299683
47,0.0853777676820755
48,0.08385735750198364
49,0.0823729857802391
50,0.08094196766614914
51,0.07958065718412399
52,0.07829523086547852
53,0.07708088308572769
54,0.07592619955539703
55,0.07481908053159714
56,0.07375131547451019
57,0.07272043079137802
58,0.07172825932502747
59,0.07077731192111969
60,0.06986730545759201
61,0.06899407505989075
62,0.0681515708565712
63,0.06733494997024536
64,0.06654233485460281
65,0.0657741129398346
66,0.06503089517354965
67,0.06431208550930023
68,0.06361591070890427
69,0.06294060498476028
70,0.06228526309132576
71,0.061649903655052185
72,0.06103472784161568
73,0.060439132153987885
74,0.059861455112695694
75,0.059299442917108536
76,0.05875126272439957
77,0.058216121047735214
78,0.05769426375627518
79,0.057186227291822433
80,0.05669206753373146
81,0.05621117353439331
82,0.05574268847703934
83,0.05528612807393074
84,0.054841481149196625
85,0.05440883710980415
86,0.05398772284388542
87,0.05357706919312477
88,0.05317576229572296
89,0.052783261984586716
90,0.05239977315068245
91,0.05202576518058777
92,0.05166127160191536
93,0.05130566656589508
94,0.050958048552274704
95,0.05061780661344528
96,0.05028488487005234
97,0.04995950311422348
98,0.04964166134595871
99,0.049330934882164
