,EpochLoss
0,1.7455198963483174
1,1.322433610757192
2,0.9073917071024576
3,0.765715072552363
4,0.7174274722735087
5,0.7016710042953491
6,0.6924915413061777
7,0.6829760670661926
8,0.6637057860692342
9,0.6422815918922424
10,0.6531543036301931
11,0.6348934272925059
12,0.5766843656698862
13,0.5467972209056219
14,0.498717079559962
15,0.4387594858805339
16,0.4035826524098714
17,0.3842925777037938
18,0.3794676611820857
19,0.36433909833431244
20,0.3398889750242233
21,0.4282863289117813
22,0.3437061905860901
23,0.36103548606236774
24,0.34576918681462604
25,0.7050752441088358
26,0.3513764093319575
27,0.33988073468208313
28,0.3388662983973821
29,0.33252904812494916
30,0.3315858592589696
31,0.32357293864091236
32,0.33889419337113696
33,0.34374232093493146
34,0.32823242247104645
35,0.2965832402308782
36,0.3218503346045812
37,0.3150279372930527
38,0.6607203880945841
39,0.5776565571626028
40,0.46844719847043353
41,0.38341010610262555
42,0.33583929638067883
43,0.33370661238829297
44,0.31069392959276837
45,0.3286608209212621
46,0.3034738103548686
47,0.3050371805826823
48,0.3049985319375992
49,0.30144288142522174
50,0.29339168469111127
51,0.290154034892718
52,0.2981002926826477
53,0.2858055780331294
54,0.30244577427705127
55,0.2878982623418172
56,0.3077563097079595
57,0.28477781514326733
58,0.38601847489674884
59,0.4848028818766276
60,0.3218897134065628
61,0.30971067647139233
62,0.3090399156014125
63,0.29493285715579987
64,0.29221153259277344
65,0.3081614524126053
66,0.2822241261601448
67,0.29141325255235034
68,0.29499655465284985
69,0.29553528130054474
70,0.29835061728954315
71,0.2909217029809952
72,0.3224833359320958
73,0.2890845239162445
74,0.2891036222378413
75,0.29153039554754895
76,0.27897825588782627
77,0.28705136477947235
78,0.2838623523712158
79,0.3037686000267665
80,0.28859542806943256
81,0.29437453548113507
82,0.2789558321237564
83,0.3444962004820506
84,0.33539940416812897
85,0.31875526905059814
86,0.3036510646343231
87,0.29861663778622943
88,0.28626566628615063
89,0.2816948741674423
90,0.2713594933350881
91,0.278253639737765
92,0.27887335419654846
93,0.28026123344898224
94,0.27629366268714267
95,0.33703825374444324
96,0.302625631292661
97,0.2856491605440776
98,0.32758739590644836
99,0.3210492680470149
